University name,City,State,Nursing Degrees,Slug
Montana Technological University,butte-mt,montana,bachelor-of-science-nursing,montana-technological-university
Caldwell University,,new-jersey,bachelor-of-science-nursing; master-of-science-nursing,caldwell-university
San Juan Bautista School of Medicine,,,bachelor-of-science-nursing,san-juan-bautista-school-of-medicine
"California State University, Channel Islands",camarillo-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,california-state-university-channel-islands
Malone University,canton-oh,ohio,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,malone-university
Pennsylvania Western University,,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,pennsylvania-western-university
"Southern Illinois University, Carbondale",carbondale-il,illinois,bachelor-of-science-nursing,southern-illinois-university-carbondale
"California State University, Dominguez Hills",carson-ca,california,bachelor-of-science-nursing; master-of-science-nursing; post-graduate-aprn,california-state-university-dominguez-hills
University of West Georgia,carrollton-ga,georgia,bachelor-of-science-nursing; master-of-science-nursing,university-of-west-georgia
Southeast Missouri State University,cape-girardeau-mo,missouri,bachelor-of-science-nursing; master-of-science-nursing,southeast-missouri-state-university
Southeast Missouri Hospital College of Nursing and Health Sciences,cape-girardeau-mo,missouri,bachelor-of-science-nursing,southeast-missouri-hospital-college-of-nursing-and-health-sciences
California Career College,canoga-park-ca,california,bachelor-of-science-nursing,california-career-college
University of Arizona Global Campus,chandler-az,arizona,bachelor-of-science-nursing,university-of-arizona-global-campus
Coe College,cedar-rapids-ia,iowa,bachelor-of-science-nursing,coe-college
Southern Utah University,cedar-city-ut,utah,bachelor-of-science-nursing; master-of-science-nursing,southern-utah-university
Mount Mercy University,cedar-rapids-ia,iowa,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,mount-mercy-university
Cedarville University,,ohio,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,cedarville-university
DeSales University,center-valley-pa,pennsylvania,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,desales-university
Vermont State University,,vermont,bachelor-of-science-nursing; master-of-science-nursing,vermont-state-university
California Southern University,chandler-az,arizona,bachelor-of-science-nursing; master-of-science-nursing,california-southern-university
American Public University System,charles-town-wv,west-virginia,bachelor-of-science-nursing; master-of-science-nursing,american-public-university-system
University of North Carolina at Chapel Hill,chapel-hill-nc,north-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing; post-graduate-aprn,university-of-north-carolina-at-chapel-hill
"Citadel, The",charleston-sc,south-carolina,bachelor-of-science-nursing,citadel-the
Eastern Illinois University,charleston-il,illinois,bachelor-of-science-nursing,eastern-illinois-university
Medical University of South Carolina,charleston-sc,south-carolina,bachelor-of-science-nursing; master-of-science-nursing; doctor-of-nursing,medical-university-of-south-carolina
