name,slug,pay,license
Helper,medication-aide-certified-per-diem-prn-helper-ut,24.98,ma-c
Henderson Green Valley Ranch,medication-aide-certified-per-diem-prn-henderson-green-valley-ranch-nv,25.74,ma-c
Henderson Midway,medication-aide-certified-per-diem-prn-henderson-midway-nv,25.78,ma-c
Henderson NV,medication-aide-certified-per-diem-prn-henderson-nv,25.15,ma-c
Henderson Pittmann,medication-aide-certified-per-diem-prn-henderson-pittman-nv,24.56,ma-c
Henderson Silverado Ranch,medication-aide-certified-per-diem-prn-henderson-silverado-ranch-nv,24.55,ma-c
Herriman,medication-aide-certified-per-diem-prn-herriman-ut,25.40,ma-c
Highland,medication-aide-certified-per-diem-prn-highland-ut,25.68,ma-c
Hill AFB,medication-aide-certified-per-diem-prn-hill-afb-ut,25.67,ma-c
Hilliard,medication-aide-certified-per-diem-prn-hilliard-oh,25.48,ma-c
Holladay UT,medication-aide-certified-per-diem-prn-holladay-ut,25.55,ma-c
Holland,medication-aide-certified-per-diem-prn-holland-oh,25.69,ma-c
Homewood,medication-aide-certified-per-diem-prn-homewood-al,25.74,ma-c
Hoover,medication-aide-certified-per-diem-prn-hoover-al,26.10,ma-c
Hot Springs,medication-aide-certified-per-diem-prn-hot-springs-ar,26.10,ma-c
Houma,medication-aide-certified-per-diem-prn-houma-la,25.68,ma-c
Huber Heights,medication-aide-certified-per-diem-prn-huber-heights-oh,25.40,ma-c
Hudson OH,medication-aide-certified-per-diem-prn-hudson-oh,26.10,ma-c
Huntsville,medication-aide-certified-per-diem-prn-huntsville-al,25.80,ma-c
Huntsville UT,medication-aide-certified-per-diem-prn-huntsville-ut,25.80,ma-c
Hurricane UT,medication-aide-certified-per-diem-prn-hurricane-ut,25.48,ma-c
Hyrum,medication-aide-certified-per-diem-prn-hyrum-ut,25.39,ma-c
Incline Village,medication-aide-certified-per-diem-prn-incline-village-nv,25.55,ma-c
Ivins,medication-aide-certified-per-diem-prn-ivins-ut,25.15,ma-c
Jackpot,medication-aide-certified-per-diem-prn-jackpot-nv,25.67,ma-c
Jacksonville,medication-aide-certified-per-diem-prn-jacksonville-ar,25.23,ma-c
Jena,medication-aide-certified-per-diem-prn-jena-la,25.48,ma-c
Jonesboro,medication-aide-certified-per-diem-prn-jonesboro-ar,25.67,ma-c
Kamas,medication-aide-certified-per-diem-prn-kamas-ut,25.23,ma-c
Kanab,medication-aide-certified-per-diem-prn-kanab-ut,25.63,ma-c
Kanosh,medication-aide-certified-per-diem-prn-kanosh-ut,25.55,ma-c
Kaysville,medication-aide-certified-per-diem-prn-kaysville-ut,25.74,ma-c
Kearns,medication-aide-certified-per-diem-prn-kearns-ut,25.48,ma-c
Kenner,medication-aide-certified-per-diem-prn-kenner-la,26.10,ma-c
Kent,medication-aide-certified-per-diem-prn-kent-oh,25.68,ma-c
Kettering,medication-aide-certified-per-diem-prn-kettering-oh,25.74,ma-c
